activity;case;start;end;type;user
decide on travel expense approval;657;30.01.2017 13:08:00;30.01.2017 13:11:00;Manager;TF7102
send original documents to archive;657;07.02.2017 14:21:00;07.02.2017 15:19:00;Employee;AC7066
calculate payments;657;14.03.2017 07:59:00;14.03.2017 08:25:00;Accounting;VA7847
pay expenses;657;03.04.2017 09:49:00;03.04.2017 10:53:00;Accounting;VA7847
check if expense documents exist;658;23.01.2017 05:59:00;23.01.2017 06:19:00;Employee;IX6854
upload travel expense documents;658;23.01.2017 06:19:00;23.01.2017 06:35:00;Employee;IX6854
file travel expense report;658;23.01.2017 06:35:00;23.01.2017 06:53:00;Employee;IX6854
confirm travel expense report;658;23.01.2017 06:53:00;23.01.2017 06:55:00;Employee;IX6854
decide on travel expense approval;658;23.01.2017 13:04:00;23.01.2017 13:09:00;Manager;AK7488
send request for travel expense correction;658;23.01.2017 13:09:00;23.01.2017 13:09:00;;
correct travel expense report;658;30.01.2017 05:59:00;30.01.2017 07:13:00;Employee;IX6854
decide on travel expense approval;658;30.01.2017 13:07:00;30.01.2017 13:12:00;Manager;AK7488
send request for travel expense correction;658;30.01.2017 13:12:00;30.01.2017 13:13:00;;
correct travel expense report;658;06.02.2017 05:59:00;06.02.2017 06:35:00;Employee;IX6854
decide on travel expense approval;658;06.02.2017 13:03:00;06.02.2017 13:04:00;Manager;AK7488
send original documents to archive;658;13.02.2017 05:59:00;13.02.2017 06:12:00;Employee;IX6854
calculate payments;658;22.02.2017 08:27:00;22.02.2017 08:49:00;Accounting;FQ3758
pay expenses;658;08.03.2017 08:49:00;08.03.2017 09:00:00;Accounting;FQ3758
check if expense documents exist;659;19.01.2017 12:07:00;19.01.2017 12:29:00;Employee;NF7192
upload travel expense documents;659;19.01.2017 12:29:00;19.01.2017 12:35:00;Employee;NF7192
file travel expense report;659;19.01.2017 12:35:00;19.01.2017 12:44:00;Employee;NF7192
confirm travel expense report;659;19.01.2017 12:44:00;19.01.2017 12:47:00;Employee;NF7192
decide on travel expense approval;659;19.01.2017 13:02:00;19.01.2017 13:07:00;Manager;IC4569
send original documents to archive;659;23.01.2017 05:59:00;23.01.2017 06:18:00;Employee;NF7192
calculate payments;659;21.02.2017 14:28:00;21.02.2017 15:27:00;Accounting;WO40
pay expenses;659;06.03.2017 08:44:00;06.03.2017 08:51:00;Accounting;WO40
check if expense documents exist;660;06.03.2017 05:59:00;06.03.2017 06:13:00;Employee;JR7161
upload travel expense documents;660;06.03.2017 06:13:00;06.03.2017 06:29:00;Employee;JR7161
file travel expense report;660;06.03.2017 06:29:00;06.03.2017 06:42:00;Employee;JR7161
confirm travel expense report;660;06.03.2017 06:42:00;06.03.2017 06:44:00;Employee;JR7161
decide on travel expense approval;660;06.03.2017 13:03:00;06.03.2017 13:04:00;Manager;OX4346
send request for travel expense correction;660;06.03.2017 13:04:00;06.03.2017 13:06:00;;
correct travel expense report;660;10.03.2017 05:59:00;10.03.2017 07:05:00;Employee;JR7161
decide on travel expense approval;660;10.03.2017 13:03:00;10.03.2017 13:07:00;Manager;OX4346
send request for travel expense correction;660;10.03.2017 13:07:00;10.03.2017 13:09:00;;
correct travel expense report;660;13.03.2017 20:18:00;13.03.2017 21:15:00;Employee;JR7161
decide on travel expense approval;660;14.03.2017 12:59:00;14.03.2017 13:01:00;Manager;OX4346
send original documents to archive;660;30.03.2017 05:59:00;30.03.2017 07:17:00;Employee;JR7161
calculate payments;660;17.04.2017 08:39:00;17.04.2017 09:54:00;Accounting;WE5108
pay expenses;660;28.04.2017 13:40:00;28.04.2017 13:50:00;Accounting;WE5108
check if expense documents exist;661;27.01.2017 05:59:00;27.01.2017 06:11:00;Employee;SJ2631
upload travel expense documents;661;27.01.2017 06:11:00;27.01.2017 06:30:00;Employee;SJ2631
file travel expense report;661;27.01.2017 06:30:00;27.01.2017 06:35:00;Employee;SJ2631
confirm travel expense report;661;27.01.2017 06:35:00;27.01.2017 06:37:00;Employee;SJ2631
decide on travel expense approval;661;27.01.2017 12:59:00;27.01.2017 13:06:00;Manager;MA6233
send original documents to archive;661;30.01.2017 05:59:00;30.01.2017 06:26:00;Employee;SJ2631
calculate payments;661;17.02.2017 08:09:00;17.02.2017 08:40:00;Accounting;GR7476
pay expenses;661;03.03.2017 07:59:00;03.03.2017 08:07:00;Accounting;GR7476
send original documents to archive;662;10.01.2017 03:52:00;11.01.2017 06:09:00;Employee;KI9211
calculate payments;662;16.01.2017 07:52:00;17.01.2017 10:47:00;Accounting;VA7847
pay expenses;662;20.01.2017 14:56:00;20.01.2017 15:01:00;Accounting;VA7847
calculate payments;663;01.01.2017 05:52:00;13.01.2017 08:51:00;Accounting;FQ3758
pay expenses;663;16.01.2017 08:41:00;16.01.2017 08:47:00;Accounting;FQ3758
check if expense documents exist;664;30.01.2017 19:35:00;30.01.2017 20:12:00;Employee;GP5896
upload travel expense documents;664;30.01.2017 20:12:00;30.01.2017 20:19:00;Employee;GP5896
file travel expense report;664;30.01.2017 20:19:00;30.01.2017 20:33:00;Employee;GP5896
confirm travel expense report;664;30.01.2017 20:33:00;30.01.2017 20:35:00;Employee;GP5896
decide on travel expense approval;664;31.01.2017 12:59:00;31.01.2017 13:02:00;Manager;TF7102
send original documents to archive;664;15.02.2017 21:23:00;15.02.2017 22:14:00;Employee;GP5896
calculate payments;664;06.03.2017 07:59:00;06.03.2017 08:28:00;Accounting;GU1789
pay expenses;664;13.03.2017 08:17:00;13.03.2017 08:27:00;Accounting;GU1789
check if expense documents exist;665;20.01.2017 05:59:00;20.01.2017 07:10:00;Employee;VA3514
upload travel expense documents;665;20.01.2017 07:10:00;20.01.2017 07:24:00;Employee;VA3514
file travel expense report;665;20.01.2017 07:24:00;20.01.2017 07:35:00;Employee;VA3514
confirm travel expense report;665;20.01.2017 07:35:00;20.01.2017 07:37:00;Employee;VA3514
decide on travel expense approval;665;20.01.2017 13:00:00;20.01.2017 13:04:00;Manager;MA6233
send request for travel expense correction;665;20.01.2017 13:04:00;20.01.2017 13:05:00;;
correct travel expense report;665;24.01.2017 05:59:00;24.01.2017 06:37:00;Employee;VA3514
decide on travel expense approval;665;24.01.2017 12:59:00;24.01.2017 13:05:00;Manager;MA6233
send original documents to archive;665;10.02.2017 05:59:00;10.02.2017 06:18:00;Employee;VA3514
calculate payments;665;13.02.2017 08:05:00;13.02.2017 08:30:00;Accounting;GU1789
pay expenses;665;06.03.2017 09:20:00;06.03.2017 09:27:00;Accounting;GU1789
decide on travel expense approval;666;02.01.2017 13:08:00;02.01.2017 13:12:00;Manager;MA6233
send request for travel expense correction;666;02.01.2017 13:12:00;02.01.2017 13:13:00;;
correct travel expense report;666;05.01.2017 06:48:00;05.01.2017 06:56:00;Employee;AP3601
decide on travel expense approval;666;05.01.2017 12:59:00;05.01.2017 13:06:00;Manager;MA6233
send original documents to archive;666;25.01.2017 05:59:00;25.01.2017 06:15:00;Employee;AP3601
calculate payments;666;13.02.2017 09:23:00;13.02.2017 09:59:00;Accounting;FI12
pay expenses;666;15.02.2017 08:30:00;15.02.2017 08:41:00;Accounting;FI12
check if expense documents exist;667;13.02.2017 05:59:00;13.02.2017 06:28:00;Employee;TN6651
file travel expense report;667;13.02.2017 06:28:00;13.02.2017 06:33:00;Employee;TN6651
confirm travel expense report;667;13.02.2017 06:33:00;13.02.2017 06:37:00;Employee;TN6651
decide on travel expense approval;667;13.02.2017 13:03:00;13.02.2017 13:07:00;Manager;MV9004
send original documents to archive;667;27.02.2017 05:59:00;27.02.2017 06:44:00;Employee;TN6651
calculate payments;667;13.03.2017 08:08:00;13.03.2017 09:08:00;Accounting;FQ3758
pay expenses;667;24.03.2017 11:37:00;24.03.2017 11:44:00;Accounting;FQ3758
check if expense documents exist;668;16.01.2017 05:59:00;16.01.2017 06:13:00;Employee;KI9211
file travel expense report;668;16.01.2017 06:13:00;16.01.2017 06:18:00;Employee;KI9211
confirm travel expense report;668;16.01.2017 06:18:00;16.01.2017 06:19:00;Employee;KI9211
decide on travel expense approval;668;16.01.2017 12:59:00;16.01.2017 13:06:00;Manager;AK7488
send original documents to archive;668;01.02.2017 15:27:00;01.02.2017 15:48:00;Employee;KI9211
calculate payments;668;22.02.2017 08:11:00;22.02.2017 08:53:00;Accounting;CX8911
pay expenses;668;16.03.2017 15:49:00;16.03.2017 15:56:00;Accounting;CX8911
check if expense documents exist;669;30.01.2017 08:55:00;30.01.2017 09:57:00;Employee;TK1856
file travel expense report;669;30.01.2017 09:57:00;30.01.2017 10:04:00;Employee;TK1856
confirm travel expense report;669;30.01.2017 10:04:00;30.01.2017 10:06:00;Employee;TK1856
decide on travel expense approval;669;30.01.2017 13:10:00;30.01.2017 13:17:00;Manager;CV4719
send original documents to archive;669;08.02.2017 18:28:00;08.02.2017 18:41:00;Employee;TK1856
calculate payments;669;27.02.2017 08:20:00;27.02.2017 09:20:00;Accounting;GU1789
pay expenses;669;10.03.2017 08:05:00;10.03.2017 08:10:00;Accounting;GU1789
calculate payments;670;02.02.2017 07:58:00;06.02.2017 10:47:00;Accounting;GR7476
pay expenses;670;20.02.2017 08:04:00;20.02.2017 08:12:00;Accounting;GR7476
calculate payments;671;08.01.2017 06:00:00;12.01.2017 08:37:00;Accounting;WE5108
pay expenses;671;31.01.2017 12:03:00;31.01.2017 12:13:00;Accounting;WE5108
check if expense documents exist;672;02.03.2017 05:59:00;02.03.2017 06:03:00;Employee;BG7300
upload travel expense documents;672;02.03.2017 06:03:00;02.03.2017 06:27:00;Employee;BG7300
file travel expense report;672;02.03.2017 06:27:00;02.03.2017 06:38:00;Employee;BG7300
confirm travel expense report;672;02.03.2017 06:38:00;02.03.2017 06:39:00;Employee;BG7300
decide on travel expense approval;672;02.03.2017 12:59:00;02.03.2017 13:01:00;Manager;TF7102
send original documents to archive;672;10.03.2017 05:59:00;10.03.2017 06:20:00;Employee;BG7300
calculate payments;672;12.04.2017 08:08:00;12.04.2017 09:53:00;Accounting;JK6642
pay expenses;672;17.04.2017 08:59:00;17.04.2017 09:05:00;Accounting;JK6642
check if expense documents exist;673;25.01.2017 05:59:00;25.01.2017 06:28:00;Employee;TN6651
upload travel expense documents;673;25.01.2017 06:28:00;25.01.2017 06:47:00;Employee;TN6651
file travel expense report;673;25.01.2017 06:47:00;25.01.2017 07:00:00;Employee;TN6651
confirm travel expense report;673;25.01.2017 07:00:00;25.01.2017 07:04:00;Employee;TN6651
decide on travel expense approval;673;25.01.2017 13:01:00;25.01.2017 13:05:00;Manager;MV9004
send request for travel expense correction;673;25.01.2017 13:05:00;25.01.2017 13:06:00;;
correct travel expense report;673;01.02.2017 19:15:00;01.02.2017 19:59:00;Employee;TN6651
decide on travel expense approval;673;02.02.2017 12:59:00;02.02.2017 13:07:00;Manager;MV9004
calculate payments;673;17.02.2017 08:11:00;17.02.2017 08:51:00;Accounting;FQ3758
send original documents to archive;673;20.02.2017 05:59:00;20.02.2017 06:47:00;Employee;TN6651
pay expenses;673;28.02.2017 08:45:00;28.02.2017 08:50:00;Accounting;FQ3758
check if expense documents exist;674;02.01.2017 05:59:00;02.01.2017 06:40:00;Employee;TC1862
file travel expense report;674;02.01.2017 06:40:00;02.01.2017 06:44:00;Employee;TC1862
confirm travel expense report;674;02.01.2017 06:44:00;02.01.2017 06:47:00;Employee;TC1862
decide on travel expense approval;674;02.01.2017 13:05:00;02.01.2017 13:10:00;Manager;MA6233
send original documents to archive;674;23.01.2017 05:59:00;23.01.2017 06:07:00;Employee;TC1862
calculate payments;674;03.02.2017 12:16:00;03.02.2017 13:13:00;Accounting;GR7476
pay expenses;674;14.02.2017 14:52:00;14.02.2017 14:59:00;Accounting;GR7476
check if expense documents exist;675;10.01.2017 19:30:00;10.01.2017 20:33:00;Employee;CO4896
upload travel expense documents;675;10.01.2017 20:33:00;10.01.2017 21:02:00;Employee;CO4896
file travel expense report;675;10.01.2017 21:02:00;10.01.2017 21:18:00;Employee;CO4896
confirm travel expense report;675;10.01.2017 21:18:00;10.01.2017 21:20:00;Employee;CO4896
decide on travel expense approval;675;11.01.2017 12:59:00;11.01.2017 13:00:00;Manager;YS1169
send request for travel expense correction;675;11.01.2017 13:00:00;11.01.2017 13:02:00;;
correct travel expense report;675;12.01.2017 20:36:00;12.01.2017 20:55:00;Employee;CO4896
decide on travel expense approval;675;13.01.2017 12:59:00;13.01.2017 13:00:00;Manager;YS1169
send original documents to archive;675;19.01.2017 05:59:00;19.01.2017 06:22:00;Employee;CO4896
calculate payments;675;02.02.2017 08:12:00;02.02.2017 08:59:00;Accounting;WE5108
pay expenses;675;06.02.2017 09:17:00;06.02.2017 09:25:00;Accounting;WE5108
check if expense documents exist;676;31.01.2017 17:56:00;31.01.2017 18:08:00;Employee;NL9453
upload travel expense documents;676;31.01.2017 18:08:00;31.01.2017 18:20:00;Employee;NL9453
file travel expense report;676;31.01.2017 18:20:00;31.01.2017 18:24:00;Employee;NL9453
confirm travel expense report;676;31.01.2017 18:24:00;31.01.2017 18:24:00;Employee;NL9453
decide on travel expense approval;676;01.02.2017 12:59:00;01.02.2017 13:04:00;Manager;OX4346
send request for travel expense correction;676;01.02.2017 13:04:00;01.02.2017 13:06:00;;
correct travel expense report;676;06.02.2017 05:59:00;06.02.2017 06:32:00;Employee;NL9453
decide on travel expense approval;676;06.02.2017 13:01:00;06.02.2017 13:03:00;Manager;OX4346
calculate payments;676;21.02.2017 08:07:00;21.02.2017 08:45:00;Accounting;JK6642
send original documents to archive;676;27.02.2017 05:59:00;27.02.2017 06:12:00;Employee;NL9453
pay expenses;676;01.03.2017 12:40:00;01.03.2017 12:53:00;Accounting;JK6642
decide on travel expense approval;677;03.01.2017 12:59:00;03.01.2017 13:06:00;Manager;CV4719
send original documents to archive;677;12.01.2017 16:30:00;12.01.2017 16:36:00;Employee;SQ8217
calculate payments;677;06.02.2017 08:52:00;06.02.2017 09:43:00;Accounting;JH2172
pay expenses;677;09.02.2017 15:27:00;09.02.2017 15:31:00;Accounting;JH2172
check if expense documents exist;678;13.01.2017 09:06:00;13.01.2017 09:53:00;Employee;TV9271
upload travel expense documents;678;13.01.2017 09:53:00;13.01.2017 10:01:00;Employee;TV9271
file travel expense report;678;13.01.2017 10:01:00;13.01.2017 10:05:00;Employee;TV9271
confirm travel expense report;678;13.01.2017 10:05:00;13.01.2017 10:07:00;Employee;TV9271
decide on travel expense approval;678;13.01.2017 13:02:00;13.01.2017 13:02:00;Manager;TF7102
send request for travel expense correction;678;13.01.2017 13:02:00;13.01.2017 13:03:00;;
correct travel expense report;678;18.01.2017 05:59:00;18.01.2017 06:31:00;Employee;TV9271
decide on travel expense approval;678;18.01.2017 12:59:00;18.01.2017 13:04:00;Manager;TF7102
send original documents to archive;678;30.01.2017 20:33:00;30.01.2017 21:35:00;Employee;TV9271
calculate payments;678;09.02.2017 07:59:00;09.02.2017 08:55:00;Accounting;WE5108
pay expenses;678;10.02.2017 14:53:00;10.02.2017 15:00:00;Accounting;WE5108
check if expense documents exist;679;13.02.2017 15:08:00;13.02.2017 15:40:00;Employee;PN2841
upload travel expense documents;679;13.02.2017 15:40:00;13.02.2017 15:44:00;Employee;PN2841
file travel expense report;679;13.02.2017 15:44:00;13.02.2017 15:59:00;Employee;PN2841
confirm travel expense report;679;13.02.2017 15:59:00;13.02.2017 16:01:00;Employee;PN2841
decide on travel expense approval;679;14.02.2017 12:59:00;14.02.2017 13:02:00;Manager;OX4346
send original documents to archive;679;27.02.2017 05:59:00;27.02.2017 06:23:00;Employee;PN2841
calculate payments;679;06.03.2017 10:42:00;06.03.2017 11:29:00;Accounting;WO40
pay expenses;679;27.03.2017 08:21:00;27.03.2017 09:32:00;Accounting;WO40
check if expense documents exist;680;20.01.2017 14:04:00;20.01.2017 14:29:00;Employee;TN464
file travel expense report;680;20.01.2017 14:29:00;20.01.2017 14:34:00;Employee;TN464
confirm travel expense report;680;20.01.2017 14:34:00;20.01.2017 14:34:00;Employee;TN464
decide on travel expense approval;680;23.01.2017 12:59:00;23.01.2017 13:00:00;Manager;YS1169
send original documents to archive;680;06.02.2017 15:06:00;06.02.2017 15:31:00;Employee;TN464
calculate payments;680;20.03.2017 08:59:00;20.03.2017 09:30:00;Accounting;WO40
pay expenses;680;27.03.2017 09:50:00;27.03.2017 10:57:00;Accounting;WO40
calculate payments;681;18.01.2017 05:48:00;30.01.2017 08:49:00;Accounting;CX8911
pay expenses;681;06.02.2017 09:29:00;06.02.2017 09:38:00;Accounting;CX8911
check if expense documents exist;683;24.01.2017 15:51:00;24.01.2017 16:40:00;Employee;IN1658
file travel expense report;683;24.01.2017 16:40:00;24.01.2017 16:45:00;Employee;IN1658
confirm travel expense report;683;24.01.2017 16:45:00;24.01.2017 16:47:00;Employee;IN1658
decide on travel expense approval;683;25.01.2017 12:59:00;25.01.2017 13:01:00;Manager;TF7102
send request for travel expense correction;683;25.01.2017 13:01:00;25.01.2017 13:03:00;;
correct travel expense report;683;03.02.2017 08:29:00;03.02.2017 08:43:00;Employee;IN1658
decide on travel expense approval;683;03.02.2017 13:00:00;03.02.2017 13:03:00;Manager;TF7102
send original documents to archive;683;09.02.2017 11:06:00;09.02.2017 11:36:00;Employee;IN1658
calculate payments;683;23.02.2017 14:35:00;23.02.2017 14:58:00;Accounting;GR7476
pay expenses;683;07.03.2017 08:38:00;07.03.2017 08:44:00;Accounting;GR7476
check if expense documents exist;684;09.01.2017 05:59:00;09.01.2017 06:41:00;Employee;SC954
upload travel expense documents;684;09.01.2017 06:41:00;09.01.2017 06:45:00;Employee;SC954
file travel expense report;684;09.01.2017 06:45:00;09.01.2017 06:59:00;Employee;SC954
confirm travel expense report;684;09.01.2017 06:59:00;09.01.2017 07:02:00;Employee;SC954
decide on travel expense approval;684;09.01.2017 13:06:00;09.01.2017 13:11:00;Manager;MA6233
send original documents to archive;684;16.01.2017 05:59:00;16.01.2017 06:28:00;Employee;SC954
calculate payments;684;30.01.2017 09:49:00;30.01.2017 10:25:00;Accounting;VA7847
pay expenses;684;21.02.2017 07:59:00;21.02.2017 08:11:00;Accounting;VA7847
check if expense documents exist;685;08.01.2017 17:53:00;09.01.2017 06:35:00;Employee;GI4405
upload travel expense documents;685;09.01.2017 06:35:00;09.01.2017 06:50:00;Employee;GI4405
file travel expense report;685;09.01.2017 06:50:00;09.01.2017 07:06:00;Employee;GI4405
confirm travel expense report;685;09.01.2017 07:06:00;09.01.2017 07:09:00;Employee;GI4405
decide on travel expense approval;685;09.01.2017 13:07:00;09.01.2017 13:13:00;Manager;TF7102
send original documents to archive;685;09.01.2017 15:00:00;09.01.2017 15:38:00;Employee;GI4405
calculate payments;685;17.02.2017 10:51:00;17.02.2017 11:40:00;Accounting;WE5108
pay expenses;685;23.02.2017 07:59:00;23.02.2017 08:06:00;Accounting;WE5108
check if expense documents exist;686;20.02.2017 05:59:00;20.02.2017 06:34:00;Employee;RF7139
upload travel expense documents;686;20.02.2017 06:34:00;20.02.2017 06:37:00;Employee;RF7139
file travel expense report;686;20.02.2017 06:37:00;20.02.2017 06:46:00;Employee;RF7139
confirm travel expense report;686;20.02.2017 06:46:00;20.02.2017 06:48:00;Employee;RF7139
decide on travel expense approval;686;20.02.2017 13:04:00;20.02.2017 13:09:00;Manager;MA6233
send request for travel expense correction;686;20.02.2017 13:09:00;20.02.2017 13:09:00;;
correct travel expense report;686;27.02.2017 05:59:00;27.02.2017 06:55:00;Employee;RF7139
decide on travel expense approval;686;27.02.2017 13:07:00;27.02.2017 13:10:00;Manager;MA6233
send request for travel expense correction;686;27.02.2017 13:10:00;27.02.2017 13:11:00;;
correct travel expense report;686;07.03.2017 16:46:00;07.03.2017 17:33:00;Employee;RF7139
decide on travel expense approval;686;08.03.2017 12:59:00;08.03.2017 13:01:00;Manager;MA6233
send original documents to archive;686;20.03.2017 05:59:00;20.03.2017 06:11:00;Employee;RF7139
calculate payments;686;03.04.2017 07:59:00;03.04.2017 09:30:00;Accounting;WO40
pay expenses;686;11.04.2017 10:01:00;11.04.2017 10:12:00;Accounting;WO40
calculate payments;687;19.01.2017 06:20:00;23.01.2017 09:07:00;Accounting;CX8911
pay expenses;687;06.02.2017 10:00:00;06.02.2017 10:11:00;Accounting;CX8911
check if expense documents exist;688;09.01.2017 20:17:00;09.01.2017 20:51:00;Employee;RI7780
file travel expense report;688;09.01.2017 20:51:00;09.01.2017 21:09:00;Employee;RI7780
confirm travel expense report;688;09.01.2017 21:09:00;09.01.2017 21:11:00;Employee;RI7780
decide on travel expense approval;688;10.01.2017 12:59:00;10.01.2017 13:01:00;Manager;YS1169
send original documents to archive;688;19.01.2017 19:09:00;19.01.2017 19:42:00;Employee;RI7780
calculate payments;688;30.01.2017 10:40:00;30.01.2017 11:02:00;Accounting;CX8911
pay expenses;688;08.02.2017 07:59:00;08.02.2017 08:03:00;Accounting;CX8911
book travel;689;01.01.2017 12:04:00;03.01.2017 10:29:00;Travel Department;KS9688
check if expense documents exist;689;17.02.2017 05:59:00;17.02.2017 06:54:00;Employee;LI6854
file travel expense report;689;17.02.2017 06:54:00;17.02.2017 07:00:00;Employee;LI6854
confirm travel expense report;689;17.02.2017 07:00:00;17.02.2017 07:00:00;Employee;LI6854
decide on travel expense approval;689;17.02.2017 13:01:00;17.02.2017 13:09:00;Manager;DY1868
send request for travel expense correction;689;17.02.2017 13:09:00;17.02.2017 13:10:00;;
correct travel expense report;689;20.02.2017 05:59:00;20.02.2017 06:25:00;Employee;LI6854
decide on travel expense approval;689;20.02.2017 12:59:00;20.02.2017 13:05:00;Manager;DY1868
send original documents to archive;689;27.02.2017 05:59:00;27.02.2017 06:24:00;Employee;LI6854
calculate payments;689;21.03.2017 08:23:00;21.03.2017 08:51:00;Accounting;WE5108
pay expenses;689;27.03.2017 08:44:00;27.03.2017 09:51:00;Accounting;WE5108
decide on travel expense approval;690;02.01.2017 12:59:00;02.01.2017 13:05:00;Manager;MA6233
send request for travel expense correction;690;02.01.2017 13:05:00;02.01.2017 13:07:00;;
correct travel expense report;690;09.01.2017 05:59:00;09.01.2017 06:56:00;Employee;CI1113
decide on travel expense approval;690;09.01.2017 13:03:00;09.01.2017 13:08:00;Manager;MA6233
send original documents to archive;690;19.01.2017 05:59:00;19.01.2017 06:26:00;Employee;CI1113
calculate payments;690;03.02.2017 07:59:00;03.02.2017 08:32:00;Accounting;WE5108
pay expenses;690;21.02.2017 08:03:00;21.02.2017 08:09:00;Accounting;WE5108
pay expenses;691;16.01.2017 09:02:00;16.01.2017 09:14:00;Accounting;VA7847
pay expenses;692;23.01.2017 08:09:00;23.01.2017 08:13:00;Accounting;WO40
check if expense documents exist;694;08.02.2017 16:02:00;08.02.2017 16:14:00;Employee;LM6330
upload travel expense documents;694;08.02.2017 16:14:00;08.02.2017 16:19:00;Employee;LM6330
file travel expense report;694;08.02.2017 16:19:00;08.02.2017 16:32:00;Employee;LM6330
confirm travel expense report;694;08.02.2017 16:32:00;08.02.2017 16:34:00;Employee;LM6330
decide on travel expense approval;694;09.02.2017 12:59:00;09.02.2017 13:01:00;Manager;IC4569
send original documents to archive;694;20.02.2017 17:02:00;20.02.2017 17:13:00;Employee;LM6330
calculate payments;694;07.03.2017 07:59:00;07.03.2017 08:29:00;Accounting;GU1789
pay expenses;694;27.03.2017 09:35:00;27.03.2017 10:44:00;Accounting;GU1789
check if expense documents exist;695;06.02.2017 11:08:00;06.02.2017 12:07:00;Employee;IE1564
upload travel expense documents;695;06.02.2017 12:07:00;06.02.2017 12:28:00;Employee;IE1564
file travel expense report;695;06.02.2017 12:28:00;06.02.2017 12:34:00;Employee;IE1564
confirm travel expense report;695;06.02.2017 12:34:00;06.02.2017 12:37:00;Employee;IE1564
decide on travel expense approval;695;06.02.2017 13:13:00;06.02.2017 13:18:00;Manager;OX4346
send request for travel expense correction;695;06.02.2017 13:18:00;06.02.2017 13:20:00;;
correct travel expense report;695;10.02.2017 09:50:00;10.02.2017 10:26:00;Employee;IE1564
decide on travel expense approval;695;10.02.2017 13:02:00;10.02.2017 13:04:00;Manager;OX4346
send original documents to archive;695;23.02.2017 05:59:00;23.02.2017 06:07:00;Employee;IE1564
calculate payments;695;27.02.2017 07:59:00;27.02.2017 08:53:00;Accounting;CX8911
pay expenses;695;06.03.2017 09:40:00;06.03.2017 09:48:00;Accounting;CX8911
check if expense documents exist;696;16.01.2017 05:59:00;16.01.2017 06:54:00;Employee;SY8260
upload travel expense documents;696;16.01.2017 06:54:00;16.01.2017 07:08:00;Employee;SY8260
file travel expense report;696;16.01.2017 07:08:00;16.01.2017 07:21:00;Employee;SY8260
confirm travel expense report;696;16.01.2017 07:21:00;16.01.2017 07:23:00;Employee;SY8260
decide on travel expense approval;696;16.01.2017 13:07:00;16.01.2017 13:13:00;Manager;DY1868
send original documents to archive;696;06.02.2017 05:59:00;06.02.2017 06:34:00;Employee;SY8260
calculate payments;696;06.02.2017 07:59:00;06.02.2017 08:51:00;Accounting;CX8911
pay expenses;696;16.02.2017 07:59:00;16.02.2017 08:09:00;Accounting;CX8911
check if expense documents exist;697;27.02.2017 18:56:00;27.02.2017 19:13:00;Employee;HF370
upload travel expense documents;697;27.02.2017 19:13:00;27.02.2017 19:26:00;Employee;HF370
file travel expense report;697;27.02.2017 19:26:00;27.02.2017 19:37:00;Employee;HF370
confirm travel expense report;697;27.02.2017 19:37:00;27.02.2017 19:39:00;Employee;HF370
decide on travel expense approval;697;28.02.2017 12:59:00;28.02.2017 13:00:00;Manager;OX4346
send original documents to archive;697;02.03.2017 18:58:00;02.03.2017 19:07:00;Employee;HF370
calculate payments;697;30.03.2017 07:59:00;30.03.2017 09:44:00;Accounting;CX8911
pay expenses;697;12.04.2017 11:35:00;12.04.2017 11:45:00;Accounting;CX8911
check if expense documents exist;698;20.01.2017 05:59:00;20.01.2017 06:40:00;Employee;RG9993
upload travel expense documents;698;20.01.2017 06:40:00;20.01.2017 06:57:00;Employee;RG9993
file travel expense report;698;20.01.2017 06:57:00;20.01.2017 07:10:00;Employee;RG9993
confirm travel expense report;698;20.01.2017 07:10:00;20.01.2017 07:11:00;Employee;RG9993
decide on travel expense approval;698;20.01.2017 12:59:00;20.01.2017 13:02:00;Manager;AK7488
send original documents to archive;698;06.02.2017 09:47:00;06.02.2017 09:52:00;Employee;RG9993
calculate payments;698;10.02.2017 07:59:00;10.02.2017 08:20:00;Accounting;WO40
pay expenses;698;27.02.2017 09:33:00;27.02.2017 09:39:00;Accounting;WO40
check if expense documents exist;699;10.03.2017 13:11:00;10.03.2017 13:15:00;Employee;UD8289
upload travel expense documents;699;10.03.2017 13:15:00;10.03.2017 13:44:00;Employee;UD8289
file travel expense report;699;10.03.2017 13:44:00;10.03.2017 14:09:00;Employee;UD8289
confirm travel expense report;699;10.03.2017 14:09:00;10.03.2017 14:12:00;Employee;UD8289
decide on travel expense approval;699;13.03.2017 12:59:00;13.03.2017 13:05:00;Manager;CV4719
send request for travel expense correction;699;13.03.2017 13:05:00;13.03.2017 13:06:00;;
correct travel expense report;699;16.03.2017 05:59:00;16.03.2017 07:09:00;Employee;UD8289
decide on travel expense approval;699;16.03.2017 13:01:00;16.03.2017 13:02:00;Manager;CV4719
send original documents to archive;699;20.03.2017 05:59:00;20.03.2017 06:20:00;Employee;UD8289
calculate payments;699;28.04.2017 07:59:00;28.04.2017 09:23:00;Accounting;JH2172
pay expenses;699;08.05.2017 14:03:00;08.05.2017 14:08:00;Accounting;JH2172
check if expense documents exist;700;20.01.2017 13:13:00;20.01.2017 14:11:00;Employee;YO3805
upload travel expense documents;700;20.01.2017 14:11:00;20.01.2017 14:14:00;Employee;YO3805
file travel expense report;700;20.01.2017 14:14:00;20.01.2017 14:26:00;Employee;YO3805
confirm travel expense report;700;20.01.2017 14:26:00;20.01.2017 14:29:00;Employee;YO3805
