activity;case;start;end
send booking proposal to employee;1757;01.02.2017 11:45;01.02.2017 11:48
check booking proposal;1757;01.02.2017 13:07;01.02.2017 13:09
decide on request;1757;01.02.2017 13:14;01.02.2017 13:17
book travel;1757;06.02.2017 09:30;06.02.2017 10:33
check if expense documents exist;1757;06.03.2017 05:59;06.03.2017 06:59
upload travel expense documents;1757;06.03.2017 06:59;06.03.2017 07:09
file travel expense report;1757;06.03.2017 07:09;06.03.2017 07:12
confirm travel expense report;1757;06.03.2017 07:12;06.03.2017 07:14
decide on travel expense approval;1757;06.03.2017 13:10;06.03.2017 13:11
send request for travel expense correction;1757;06.03.2017 13:11;06.03.2017 13:11
correct travel expense report;1757;07.03.2017 05:59;07.03.2017 06:43
decide on travel expense approval;1757;07.03.2017 12:59;07.03.2017 13:01
send request for travel expense correction;1757;07.03.2017 13:01;07.03.2017 13:01
correct travel expense report;1757;13.03.2017 05:59;13.03.2017 06:55
decide on travel expense approval;1757;13.03.2017 13:05;13.03.2017 13:10
calculate payments;1757;28.03.2017 12:11;28.03.2017 13:51
send original documents to archive;1757;03.04.2017 05:59;03.04.2017 07:32
pay expenses;1757;26.04.2017 09:03;26.04.2017 09:15
file travel request;1758;19.01.2017 10:56;19.01.2017 11:07
check if travel request needs preliminary price inquiry;1758;19.01.2017 11:07;19.01.2017 11:07
decide on approval requirements;1758;19.01.2017 11:07;19.01.2017 11:08
check if booking is necessary;1758;24.01.2017 13:46;24.01.2017 13:52
check if expense documents exist;1758;23.03.2017 05:59;23.03.2017 06:37
upload travel expense documents;1758;23.03.2017 06:37;23.03.2017 06:55
file travel expense report;1758;23.03.2017 06:55;23.03.2017 07:10
confirm travel expense report;1758;23.03.2017 07:10;23.03.2017 07:10
decide on travel expense approval;1758;23.03.2017 12:59;23.03.2017 13:03
send request for travel expense correction;1758;23.03.2017 13:03;23.03.2017 13:04
correct travel expense report;1758;27.03.2017 17:14;27.03.2017 18:34
decide on travel expense approval;1758;28.03.2017 13:59;28.03.2017 14:03
send original documents to archive;1758;30.03.2017 06:59;30.03.2017 07:42
calculate payments;1758;24.04.2017 09:26;24.04.2017 09:51
pay expenses;1758;15.05.2017 08:59;15.05.2017 09:10
file travel request;1759;19.01.2017 12:16;19.01.2017 12:36
check if travel request needs preliminary price inquiry;1759;19.01.2017 12:36;19.01.2017 12:37
decide on approval requirements;1759;19.01.2017 12:37;19.01.2017 12:38
forward request to approver;1759;19.01.2017 12:38;19.01.2017 12:38
decide on request;1759;19.01.2017 13:02;19.01.2017 13:07
check if booking is necessary;1759;24.01.2017 14:57;24.01.2017 15:01
check if expense documents exist;1759;10.03.2017 07:25;10.03.2017 07:57
upload travel expense documents;1759;10.03.2017 07:57;10.03.2017 08:00
file travel expense report;1759;10.03.2017 08:00;10.03.2017 08:04
confirm travel expense report;1759;10.03.2017 08:04;10.03.2017 08:08
decide on travel expense approval;1759;10.03.2017 13:03;10.03.2017 13:06
send original documents to archive;1759;24.03.2017 05:59;24.03.2017 06:20
calculate payments;1759;03.04.2017 07:59;03.04.2017 09:13
pay expenses;1759;14.04.2017 08:59;14.04.2017 09:04
file travel request;1760;19.01.2017 14:02;19.01.2017 14:08
check if travel request needs preliminary price inquiry;1760;19.01.2017 14:08;19.01.2017 14:09
prepare booking proposal;1760;24.01.2017 15:31;24.01.2017 16:29
send booking proposal to employee;1760;27.01.2017 11:17;27.01.2017 11:20
check booking proposal;1760;27.01.2017 16:29;27.01.2017 16:34
transform price inquiry to travel request;1760;27.01.2017 16:42;27.01.2017 16:42
decide on approval requirements;1760;27.01.2017 16:42;27.01.2017 16:44
check if booking is necessary;1760;01.02.2017 15:49;01.02.2017 15:55
check if expense documents exist;1760;09.03.2017 15:51;09.03.2017 16:08
upload travel expense documents;1760;09.03.2017 16:08;09.03.2017 16:17
file travel expense report;1760;09.03.2017 16:17;09.03.2017 16:21
confirm travel expense report;1760;09.03.2017 16:21;09.03.2017 16:24
decide on travel expense approval;1760;10.03.2017 12:59;10.03.2017 13:03
send original documents to archive;1760;21.03.2017 17:42;21.03.2017 18:21
calculate payments;1760;19.04.2017 07:59;19.04.2017 10:01
pay expenses;1760;26.04.2017 08:59;26.04.2017 09:03
file travel request;1761;19.01.2017 15:30;19.01.2017 15:48
check if travel request needs preliminary price inquiry;1761;19.01.2017 15:48;19.01.2017 15:49
prepare booking proposal;1761;25.01.2017 08:02;25.01.2017 08:59
send booking proposal to employee;1761;27.01.2017 13:33;27.01.2017 13:36
check booking proposal;1761;27.01.2017 15:22;27.01.2017 15:24
check if price inquiry is still needed and up to date;1761;06.02.2017 05:59;06.02.2017 06:08
request update of the booking proposal;1761;06.02.2017 06:08;06.02.2017 06:08
prepare booking proposal;1761;09.02.2017 09:08;09.02.2017 10:02
send booking proposal to employee;1761;14.02.2017 10:06;14.02.2017 10:09
check booking proposal;1761;14.02.2017 10:39;14.02.2017 10:45
transform price inquiry to travel request;1761;14.02.2017 10:49;14.02.2017 10:49
decide on approval requirements;1761;14.02.2017 10:49;14.02.2017 10:50
check if booking is necessary;1761;17.02.2017 15:39;17.02.2017 15:43
prepare booking proposal;1761;22.02.2017 12:45;22.02.2017 13:35
send booking proposal to employee;1761;28.02.2017 09:35;28.02.2017 09:36
check booking proposal;1761;28.02.2017 11:58;28.02.2017 12:01
book travel;1761;03.03.2017 14:48;03.03.2017 16:19
check if expense documents exist;1761;31.05.2017 12:15;31.05.2017 12:30
upload travel expense documents;1761;31.05.2017 12:30;31.05.2017 12:35
file travel expense report;1761;31.05.2017 12:35;31.05.2017 12:39
confirm travel expense report;1761;31.05.2017 12:39;31.05.2017 12:41
decide on travel expense approval;1761;31.05.2017 14:01;31.05.2017 14:04
send request for travel expense correction;1761;31.05.2017 14:04;31.05.2017 14:05
correct travel expense report;1761;09.06.2017 06:59;09.06.2017 07:22
decide on travel expense approval;1761;09.06.2017 13:59;09.06.2017 14:01
send original documents to archive;1761;19.06.2017 06:59;19.06.2017 08:00
calculate payments;1761;06.07.2017 08:59;06.07.2017 09:48
pay expenses;1761;11.07.2017 08:59;11.07.2017 09:05
file travel request;1763;19.01.2017 18:30;19.01.2017 18:44
check if travel request needs preliminary price inquiry;1763;19.01.2017 18:44;19.01.2017 18:45
prepare booking proposal;1763;25.01.2017 09:17;25.01.2017 11:12
send booking proposal to employee;1763;27.01.2017 13:59;27.01.2017 14:03
check booking proposal;1763;27.01.2017 14:06;27.01.2017 14:10
transform price inquiry to travel request;1763;27.01.2017 14:11;27.01.2017 14:11
decide on approval requirements;1763;27.01.2017 14:11;27.01.2017 14:13
check if booking is necessary;1763;01.02.2017 14:30;01.02.2017 14:36
check if expense documents exist;1763;29.03.2017 16:32;29.03.2017 17:38
upload travel expense documents;1763;29.03.2017 17:38;29.03.2017 17:53
file travel expense report;1763;29.03.2017 17:53;29.03.2017 18:01
confirm travel expense report;1763;29.03.2017 18:01;29.03.2017 18:03
decide on travel expense approval;1763;30.03.2017 13:59;30.03.2017 14:03
send original documents to archive;1763;11.04.2017 10:31;11.04.2017 11:05
calculate payments;1763;24.04.2017 15:34;24.04.2017 16:22
pay expenses;1763;28.04.2017 15:58;28.04.2017 16:11
file travel request;1764;19.01.2017 19:57;19.01.2017 20:16
check if travel request needs preliminary price inquiry;1764;19.01.2017 20:16;19.01.2017 20:16
decide on approval requirements;1764;19.01.2017 20:16;19.01.2017 20:17
forward request to approver;1764;19.01.2017 20:17;19.01.2017 20:18
decide on request;1764;20.01.2017 12:59;20.01.2017 13:02
check if booking is necessary;1764;25.01.2017 13:32;25.01.2017 13:44
prepare booking proposal;1764;30.01.2017 07:59;30.01.2017 08:55
send booking proposal to employee;1764;02.02.2017 13:59;02.02.2017 14:01
check booking proposal;1764;02.02.2017 15:13;02.02.2017 15:14
book travel;1764;07.02.2017 09:01;07.02.2017 09:34
check if expense documents exist;1764;09.03.2017 05:59;09.03.2017 07:05
upload travel expense documents;1764;09.03.2017 07:05;09.03.2017 07:29
file travel expense report;1764;09.03.2017 07:29;09.03.2017 07:36
confirm travel expense report;1764;09.03.2017 07:36;09.03.2017 07:39
decide on travel expense approval;1764;09.03.2017 13:02;09.03.2017 13:07
send original documents to archive;1764;22.03.2017 05:59;22.03.2017 06:34
calculate payments;1764;25.04.2017 08:12;25.04.2017 09:31
pay expenses;1764;04.05.2017 08:59;04.05.2017 09:07
file travel request;1765;19.01.2017 21:32;19.01.2017 21:34
check if travel request needs preliminary price inquiry;1765;19.01.2017 21:34;19.01.2017 21:35
decide on approval requirements;1765;19.01.2017 21:35;19.01.2017 21:37
check if booking is necessary;1765;25.01.2017 11:12;25.01.2017 11:15
prepare booking proposal;1765;27.01.2017 14:01;27.01.2017 15:11
send booking proposal to employee;1765;01.02.2017 14:48;01.02.2017 14:51
check booking proposal;1765;01.02.2017 19:15;01.02.2017 19:17
book travel;1765;06.02.2017 12:02;06.02.2017 13:17
check if expense documents exist;1765;15.05.2017 06:59;15.05.2017 07:19
upload travel expense documents;1765;15.05.2017 07:19;15.05.2017 07:38
file travel expense report;1765;15.05.2017 07:38;15.05.2017 07:51
confirm travel expense report;1765;15.05.2017 07:51;15.05.2017 07:54
decide on travel expense approval;1765;15.05.2017 14:06;15.05.2017 14:11
send original documents to archive;1765;17.05.2017 08:30;17.05.2017 08:38
calculate payments;1765;13.06.2017 08:59;13.06.2017 09:25
pay expenses;1765;21.06.2017 08:59;21.06.2017 09:10
file travel request;1766;20.01.2017 05:59;20.01.2017 06:12
check if travel request needs preliminary price inquiry;1766;20.01.2017 06:12;20.01.2017 06:14
decide on approval requirements;1766;20.01.2017 06:14;20.01.2017 06:14
check if booking is necessary;1766;25.01.2017 11:18;25.01.2017 11:21
check if expense documents exist;1766;10.02.2017 05:59;10.02.2017 06:23
upload travel expense documents;1766;10.02.2017 06:23;10.02.2017 06:26
file travel expense report;1766;10.02.2017 06:26;10.02.2017 06:40
confirm travel expense report;1766;10.02.2017 06:40;10.02.2017 06:42
decide on travel expense approval;1766;10.02.2017 12:59;10.02.2017 13:00
send original documents to archive;1766;13.02.2017 05:59;13.02.2017 06:22
calculate payments;1766;14.03.2017 07:59;14.03.2017 08:18
pay expenses;1766;23.03.2017 07:59;23.03.2017 08:07
file travel request;1767;20.01.2017 05:59;20.01.2017 06:05
check if travel request needs preliminary price inquiry;1767;20.01.2017 06:05;20.01.2017 06:06
decide on approval requirements;1767;20.01.2017 06:06;20.01.2017 06:07
check if booking is necessary;1767;25.01.2017 11:13;25.01.2017 11:15
check if expense documents exist;1767;17.02.2017 05:59;17.02.2017 06:46
file travel expense report;1767;17.02.2017 06:46;17.02.2017 06:56
confirm travel expense report;1767;17.02.2017 06:56;17.02.2017 06:58
decide on travel expense approval;1767;17.02.2017 13:01;17.02.2017 13:01
send original documents to archive;1767;01.03.2017 21:06;01.03.2017 21:21
calculate payments;1767;06.03.2017 10:07;06.03.2017 10:48
pay expenses;1767;22.03.2017 08:06;22.03.2017 08:16
file travel request;1768;20.01.2017 05:59;20.01.2017 06:07
check if travel request needs preliminary price inquiry;1768;20.01.2017 06:07;20.01.2017 06:08
decide on approval requirements;1768;20.01.2017 06:08;20.01.2017 06:09
check if booking is necessary;1768;25.01.2017 11:16;25.01.2017 11:18
check if expense documents exist;1768;28.03.2017 16:16;28.03.2017 17:00
file travel expense report;1768;28.03.2017 17:00;28.03.2017 17:15
confirm travel expense report;1768;28.03.2017 17:15;28.03.2017 17:17
decide on travel expense approval;1768;29.03.2017 13:59;29.03.2017 14:04
send original documents to archive;1768;10.04.2017 06:59;10.04.2017 07:25
calculate payments;1768;01.05.2017 09:28;01.05.2017 10:08
pay expenses;1768;05.05.2017 08:59;05.05.2017 09:10
file travel request;1770;20.01.2017 05:59;20.01.2017 06:06
check if travel request needs preliminary price inquiry;1770;20.01.2017 06:06;20.01.2017 06:07
decide on approval requirements;1770;20.01.2017 06:07;20.01.2017 06:08
check if booking is necessary;1770;25.01.2017 11:15;25.01.2017 11:16
prepare booking proposal;1770;27.01.2017 14:03;27.01.2017 15:14
send booking proposal to employee;1770;01.02.2017 15:12;01.02.2017 15:16
check booking proposal;1770;01.02.2017 19:03;01.02.2017 19:05
book travel;1770;06.02.2017 11:48;06.02.2017 12:29
check if expense documents exist;1770;08.05.2017 06:59;08.05.2017 07:17
file travel expense report;1770;08.05.2017 07:17;08.05.2017 07:29
confirm travel expense report;1770;08.05.2017 07:29;08.05.2017 07:33
decide on travel expense approval;1770;08.05.2017 14:04;08.05.2017 14:05
send original documents to archive;1770;22.05.2017 06:59;22.05.2017 07:05
calculate payments;1770;08.06.2017 09:04;08.06.2017 09:55
pay expenses;1770;19.06.2017 08:59;19.06.2017 09:09
file travel request;1771;20.01.2017 06:22;20.01.2017 06:40
check if travel request needs preliminary price inquiry;1771;20.01.2017 06:40;20.01.2017 06:42
decide on approval requirements;1771;20.01.2017 06:42;20.01.2017 06:43
check if booking is necessary;1771;25.01.2017 11:21;25.01.2017 11:23
prepare booking proposal;1771;27.01.2017 14:46;27.01.2017 15:44
send booking proposal to employee;1771;01.02.2017 15:41;01.02.2017 15:44
check booking proposal;1771;01.02.2017 20:51;01.02.2017 20:55
book travel;1771;06.02.2017 12:29;06.02.2017 14:34
check if expense documents exist;1771;03.04.2017 06:59;03.04.2017 07:31
file travel expense report;1771;03.04.2017 07:31;03.04.2017 07:47
confirm travel expense report;1771;03.04.2017 07:47;03.04.2017 07:48
decide on travel expense approval;1771;03.04.2017 14:02;03.04.2017 14:06
send request for travel expense correction;1771;03.04.2017 14:06;03.04.2017 14:07
correct travel expense report;1771;05.04.2017 06:59;05.04.2017 07:31
decide on travel expense approval;1771;05.04.2017 13:59;05.04.2017 14:04
send original documents to archive;1771;18.04.2017 14:17;18.04.2017 14:20
calculate payments;1771;01.05.2017 10:49;01.05.2017 11:04
pay expenses;1771;08.05.2017 10:11;08.05.2017 10:19
file travel request;1772;20.01.2017 07:50;20.01.2017 07:55
check if travel request needs preliminary price inquiry;1772;20.01.2017 07:55;20.01.2017 07:57
decide on approval requirements;1772;20.01.2017 07:57;20.01.2017 07:57
check if booking is necessary;1772;25.01.2017 11:23;25.01.2017 11:30
prepare booking proposal;1772;27.01.2017 15:11;27.01.2017 16:43
send booking proposal to employee;1772;01.02.2017 15:47;01.02.2017 15:52
check booking proposal;1772;01.02.2017 20:30;01.02.2017 20:35
book travel;1772;06.02.2017 12:10;06.02.2017 13:40
check if expense documents exist;1772;24.04.2017 06:59;24.04.2017 07:35
upload travel expense documents;1772;24.04.2017 07:35;24.04.2017 07:40
file travel expense report;1772;24.04.2017 07:40;24.04.2017 07:50
confirm travel expense report;1772;24.04.2017 07:50;24.04.2017 07:51
decide on travel expense approval;1772;24.04.2017 14:06;24.04.2017 14:09
send original documents to archive;1772;08.05.2017 06:59;08.05.2017 07:14
calculate payments;1772;22.05.2017 09:53;22.05.2017 10:24
pay expenses;1772;05.06.2017 10:17;05.06.2017 10:26
file travel request;1773;20.01.2017 09:29;20.01.2017 09:45
check if travel request needs preliminary price inquiry;1773;20.01.2017 09:45;20.01.2017 09:46
prepare booking proposal;1773;25.01.2017 12:03;25.01.2017 13:25
send booking proposal to employee;1773;27.01.2017 15:51;27.01.2017 15:52
check booking proposal;1773;27.01.2017 20:28;27.01.2017 20:41
transform price inquiry to travel request;1773;27.01.2017 20:48;27.01.2017 20:49
decide on approval requirements;1773;27.01.2017 20:49;27.01.2017 20:50
check if booking is necessary;1773;02.02.2017 07:59;02.02.2017 08:05
check if expense documents exist;1773;22.03.2017 09:54;22.03.2017 10:35
upload travel expense documents;1773;22.03.2017 10:35;22.03.2017 10:43
file travel expense report;1773;22.03.2017 10:43;22.03.2017 10:48
confirm travel expense report;1773;22.03.2017 10:48;22.03.2017 10:50
decide on travel expense approval;1773;22.03.2017 13:00;22.03.2017 13:05
send original documents to archive;1773;03.04.2017 05:59;03.04.2017 07:09
calculate payments;1773;13.04.2017 07:59;13.04.2017 09:37
pay expenses;1773;26.04.2017 11:07;26.04.2017 11:10
file travel request;1774;20.01.2017 11:03;20.01.2017 11:25
check if travel request needs preliminary price inquiry;1774;20.01.2017 11:25;20.01.2017 11:27
decide on approval requirements;1774;20.01.2017 11:27;20.01.2017 11:27
check if booking is necessary;1774;25.01.2017 13:19;25.01.2017 13:25
prepare booking proposal;1774;27.01.2017 15:51;27.01.2017 16:51
send booking proposal to employee;1774;01.02.2017 15:52;01.02.2017 15:55
check booking proposal;1774;01.02.2017 19:14;01.02.2017 19:15
check if travel request is still needed and up to date;1774;09.02.2017 15:57;09.02.2017 16:42
request update of the booking proposal;1774;09.02.2017 16:42;09.02.2017 16:42
prepare booking proposal;1774;14.02.2017 15:44;14.02.2017 17:29
send booking proposal to employee;1774;20.02.2017 09:56;20.02.2017 09:58
check booking proposal;1774;20.02.2017 13:02;20.02.2017 13:07
book travel;1774;24.02.2017 13:14;24.02.2017 16:04
check if expense documents exist;1774;08.05.2017 06:59;08.05.2017 07:38
file travel expense report;1774;08.05.2017 07:38;08.05.2017 07:51
confirm travel expense report;1774;08.05.2017 07:51;08.05.2017 07:53
decide on travel expense approval;1774;08.05.2017 14:07;08.05.2017 14:10
send request for travel expense correction;1774;08.05.2017 14:10;08.05.2017 14:10
correct travel expense report;1774;18.05.2017 06:59;18.05.2017 08:05
decide on travel expense approval;1774;18.05.2017 14:01;18.05.2017 14:01
send original documents to archive;1774;26.05.2017 07:30;26.05.2017 07:36
calculate payments;1774;12.06.2017 09:06;12.06.2017 09:41
pay expenses;1774;26.06.2017 10:41;26.06.2017 10:49
file travel request;1775;20.01.2017 12:19;20.01.2017 12:32
check if travel request needs preliminary price inquiry;1775;20.01.2017 12:32;20.01.2017 12:33
decide on approval requirements;1775;20.01.2017 12:33;20.01.2017 12:34
check if booking is necessary;1775;25.01.2017 13:25;25.01.2017 13:27
check if expense documents exist;1775;02.03.2017 20:07;02.03.2017 20:49
file travel expense report;1775;02.03.2017 20:49;02.03.2017 20:54
confirm travel expense report;1775;02.03.2017 20:54;02.03.2017 20:57
decide on travel expense approval;1775;03.03.2017 12:59;03.03.2017 13:02
send original documents to archive;1775;21.03.2017 21:13;21.03.2017 21:50
calculate payments;1775;30.03.2017 08:14;30.03.2017 09:36
pay expenses;1775;03.04.2017 09:26;03.04.2017 09:31
file travel request;1776;20.01.2017 13:47;20.01.2017 13:49
check if travel request needs preliminary price inquiry;1776;20.01.2017 13:49;20.01.2017 13:50
decide on approval requirements;1776;20.01.2017 13:50;20.01.2017 13:51
check if booking is necessary;1776;25.01.2017 15:03;25.01.2017 15:05
prepare booking proposal;1776;30.01.2017 08:04;30.01.2017 09:07
send booking proposal to employee;1776;02.02.2017 14:01;02.02.2017 14:03
check booking proposal;1776;02.02.2017 19:57;02.02.2017 20:01
book travel;1776;07.02.2017 09:44;07.02.2017 10:47
check if expense documents exist;1776;17.03.2017 09:04;17.03.2017 09:08
upload travel expense documents;1776;17.03.2017 09:08;17.03.2017 09:11
file travel expense report;1776;17.03.2017 09:11;17.03.2017 09:23
confirm travel expense report;1776;17.03.2017 09:23;17.03.2017 09:24
decide on travel expense approval;1776;17.03.2017 12:59;17.03.2017 13:04
send original documents to archive;1776;20.03.2017 05:59;20.03.2017 06:09
calculate payments;1776;19.04.2017 12:45;19.04.2017 14:33
pay expenses;1776;25.04.2017 10:24;25.04.2017 10:33
file travel request;1777;20.01.2017 15:14;20.01.2017 15:25
check if travel request needs preliminary price inquiry;1777;20.01.2017 15:25;20.01.2017 15:26
decide on approval requirements;1777;20.01.2017 15:26;20.01.2017 15:27
forward request to approver;1777;20.01.2017 15:27;20.01.2017 15:27
decide on request;1777;23.01.2017 12:59;23.01.2017 13:06
send request for correction;1777;23.01.2017 13:06;23.01.2017 13:08
correct request;1777;22.02.2017 04:08;22.02.2017 05:01
decide on approval requirements;1777;22.02.2017 05:01;22.02.2017 05:02
forward request to approver;1777;22.02.2017 05:03;22.02.2017 05:03
check if booking is necessary;1777;27.02.2017 14:35;27.02.2017 14:41
check if expense documents exist;1777;09.05.2017 13:33;09.05.2017 13:38
file travel expense report;1777;09.05.2017 13:38;09.05.2017 13:49
confirm travel expense report;1777;09.05.2017 13:49;09.05.2017 13:50
decide on travel expense approval;1777;09.05.2017 14:00;09.05.2017 14:06
send original documents to archive;1777;19.05.2017 20:54;19.05.2017 21:15
calculate payments;1777;12.06.2017 11:09;12.06.2017 11:32
pay expenses;1777;27.06.2017 09:16;27.06.2017 09:22
file travel request;1778;20.01.2017 16:50;20.01.2017 16:59
check if travel request needs preliminary price inquiry;1778;20.01.2017 16:59;20.01.2017 17:00
decide on approval requirements;1778;20.01.2017 17:00;20.01.2017 17:01
check if booking is necessary;1778;26.01.2017 08:22;26.01.2017 08:28
check if expense documents exist;1778;27.02.2017 05:59;27.02.2017 06:56
upload travel expense documents;1778;27.02.2017 06:56;27.02.2017 07:01
file travel expense report;1778;27.02.2017 07:01;27.02.2017 07:14
confirm travel expense report;1778;27.02.2017 07:14;27.02.2017 07:15
decide on travel expense approval;1778;27.02.2017 13:10;27.02.2017 13:12
send original documents to archive;1778;10.03.2017 10:45;10.03.2017 11:21
calculate payments;1778;16.03.2017 15:44;16.03.2017 15:55
pay expenses;1778;03.04.2017 10:34;03.04.2017 11:43
file travel request;1779;20.01.2017 18:31;20.01.2017 18:36
check if travel request needs preliminary price inquiry;1779;20.01.2017 18:36;20.01.2017 18:37
decide on approval requirements;1779;20.01.2017 18:37;20.01.2017 18:37
check if booking is necessary;1779;26.01.2017 08:48;26.01.2017 08:51
check if expense documents exist;1779;05.04.2017 21:50;05.04.2017 22:10
upload travel expense documents;1779;05.04.2017 22:10;05.04.2017 22:20
file travel expense report;1779;05.04.2017 22:20;05.04.2017 22:36
confirm travel expense report;1779;05.04.2017 22:36;05.04.2017 22:38
decide on travel expense approval;1779;06.04.2017 13:59;06.04.2017 14:01
send request for travel expense correction;1779;06.04.2017 14:01;06.04.2017 14:01
correct travel expense report;1779;10.04.2017 06:59;10.04.2017 07:43
decide on travel expense approval;1779;10.04.2017 14:04;10.04.2017 14:11
send original documents to archive;1779;01.05.2017 06:59;01.05.2017 07:45
calculate payments;1779;22.05.2017 10:31;22.05.2017 10:53
pay expenses;1779;02.06.2017 09:05;02.06.2017 09:10
file travel request;1780;20.01.2017 19:54;20.01.2017 19:59
check if travel request needs preliminary price inquiry;1780;20.01.2017 19:59;20.01.2017 19:59
decide on approval requirements;1780;20.01.2017 19:59;20.01.2017 20:00
check if booking is necessary;1780;26.01.2017 09:42;26.01.2017 09:47
check if expense documents exist;1780;21.02.2017 05:59;21.02.2017 06:24
upload travel expense documents;1780;21.02.2017 06:24;21.02.2017 06:40
file travel expense report;1780;21.02.2017 06:40;21.02.2017 06:43
confirm travel expense report;1780;21.02.2017 06:43;21.02.2017 06:44
decide on travel expense approval;1780;21.02.2017 13:00;21.02.2017 13:06
send original documents to archive;1780;09.03.2017 10:16;09.03.2017 10:34
calculate payments;1780;16.03.2017 14:37;16.03.2017 15:04
pay expenses;1780;30.03.2017 08:05;30.03.2017 09:09
file travel request;1781;20.01.2017 21:26;20.01.2017 21:43
check if travel request needs preliminary price inquiry;1781;20.01.2017 21:43;20.01.2017 21:44
decide on approval requirements;1781;20.01.2017 21:44;20.01.2017 21:45
check if booking is necessary;1781;26.01.2017 09:47;26.01.2017 09:52
prepare booking proposal;1781;30.01.2017 12:55;30.01.2017 14:31
send booking proposal to employee;1781;03.02.2017 08:32;03.02.2017 08:37
check booking proposal;1781;03.02.2017 11:06;03.02.2017 11:10
book travel;1781;07.02.2017 15:23;07.02.2017 16:35
check if expense documents exist;1781;27.03.2017 18:24;27.03.2017 19:33
upload travel expense documents;1781;27.03.2017 19:33;27.03.2017 19:58
file travel expense report;1781;27.03.2017 19:58;27.03.2017 20:03
confirm travel expense report;1781;27.03.2017 20:03;27.03.2017 20:04
decide on travel expense approval;1781;28.03.2017 13:59;28.03.2017 14:00
send original documents to archive;1781;11.04.2017 08:07;11.04.2017 08:31
calculate payments;1781;05.05.2017 09:12;05.05.2017 09:41
pay expenses;1781;15.05.2017 09:43;15.05.2017 09:54
file travel request;1782;23.01.2017 05:59;23.01.2017 06:14
check if travel request needs preliminary price inquiry;1782;23.01.2017 06:14;23.01.2017 06:15
decide on approval requirements;1782;23.01.2017 06:15;23.01.2017 06:16
check if booking is necessary;1782;26.01.2017 12:14;26.01.2017 12:20
prepare booking proposal;1782;31.01.2017 07:59;31.01.2017 09:21
send booking proposal to employee;1782;03.02.2017 11:30;03.02.2017 11:31
check booking proposal;1782;03.02.2017 13:53;03.02.2017 13:53
check if travel request is still needed and up to date;1782;09.02.2017 10:56;09.02.2017 11:31
request update of the booking proposal;1782;09.02.2017 11:31;09.02.2017 11:31
prepare booking proposal;1782;14.02.2017 12:38;14.02.2017 13:11
send booking proposal to employee;1782;20.02.2017 08:05;20.02.2017 08:06
check booking proposal;1782;20.02.2017 09:50;20.02.2017 09:56
book travel;1782;24.02.2017 08:03;24.02.2017 10:48
check if expense documents exist;1782;01.05.2017 19:13;01.05.2017 19:17
upload travel expense documents;1782;01.05.2017 19:17;01.05.2017 19:22
file travel expense report;1782;01.05.2017 19:22;01.05.2017 19:33
confirm travel expense report;1782;01.05.2017 19:33;01.05.2017 19:36
decide on travel expense approval;1782;02.05.2017 13:59;02.05.2017 14:02
send request for travel expense correction;1782;02.05.2017 14:02;02.05.2017 14:03
correct travel expense report;1782;03.05.2017 22:11;03.05.2017 23:06
decide on travel expense approval;1782;04.05.2017 13:59;04.05.2017 14:03
send original documents to archive;1782;09.05.2017 20:00;09.05.2017 20:11
calculate payments;1782;08.06.2017 09:21;08.06.2017 09:39
pay expenses;1782;19.06.2017 09:36;19.06.2017 09:43
file travel request;1783;23.01.2017 05:59;23.01.2017 06:17
check if travel request needs preliminary price inquiry;1783;23.01.2017 06:17;23.01.2017 06:18
decide on approval requirements;1783;23.01.2017 06:18;23.01.2017 06:18
check if booking is necessary;1783;26.01.2017 12:56;26.01.2017 12:58
prepare booking proposal;1783;31.01.2017 07:59;31.01.2017 09:04
send booking proposal to employee;1783;03.02.2017 11:30;03.02.2017 11:30
check booking proposal;1783;03.02.2017 14:49;03.02.2017 14:59
book travel;1783;08.02.2017 13:09;08.02.2017 16:26
check if expense documents exist;1783;03.04.2017 16:53;03.04.2017 17:36
upload travel expense documents;1783;03.04.2017 17:36;03.04.2017 17:42
file travel expense report;1783;03.04.2017 17:42;03.04.2017 17:55
confirm travel expense report;1783;03.04.2017 17:55;03.04.2017 17:55
decide on travel expense approval;1783;04.04.2017 13:59;04.04.2017 14:00
send original documents to archive;1783;19.04.2017 06:59;19.04.2017 07:05
calculate payments;1783;24.04.2017 10:09;24.04.2017 10:57
pay expenses;1783;11.05.2017 10:41;11.05.2017 10:52
file travel request;1784;23.01.2017 05:59;23.01.2017 06:22
check if travel request needs preliminary price inquiry;1784;23.01.2017 06:22;23.01.2017 06:24
prepare booking proposal;1784;26.01.2017 13:47;26.01.2017 14:58
send booking proposal to employee;1784;31.01.2017 10:52;31.01.2017 10:55
check booking proposal;1784;31.01.2017 15:09;31.01.2017 15:14
transform price inquiry to travel request;1784;31.01.2017 15:20;31.01.2017 15:21
decide on approval requirements;1784;31.01.2017 15:21;31.01.2017 15:22
check if booking is necessary;1784;03.02.2017 12:32;03.02.2017 12:36
prepare booking proposal;1784;08.02.2017 09:33;08.02.2017 10:25
send booking proposal to employee;1784;13.02.2017 13:48;13.02.2017 13:51
check booking proposal;1784;13.02.2017 15:11;13.02.2017 15:15
book travel;1784;17.02.2017 10:02;17.02.2017 12:16
check if expense documents exist;1784;20.04.2017 12:02;20.04.2017 12:11
file travel expense report;1784;20.04.2017 12:11;20.04.2017 12:27
